id,sciName (Clements/eBird/ML),comNameEn (Clements/eBird/ML),code (Clements/eBird/ML),sciName (IOC),comNameEn (IOC),comNameDe (IOC/DOG),sciName (GBIF),class (GBIF),order (GBIF),sciNameSynonyms
11835,Otus balli,Andaman Scops-Owl,ansowl1,Otus balli,Andaman Scops Owl,Andamanen-Zwergohreule,Otus balli,Aves,Strigiformes,['Otus balli']
11836,Otus beccarii,Biak Scops-Owl,biasco1,Otus beccarii,Biak Scops Owl,Biak-Zwergohreule,Otus beccarii,Aves,Strigiformes,['Otus beccarii']
11837,Otus bikegila,Principe Scops-Owl,prisco1,Otus bikegila,Principe Scops Owl,,Otus bikegila,Aves,Strigiformes,['Otus bikegila']
11838,Otus brookii,Rajah Scops-Owl,rasowl1,Otus brookii,Rajah Scops Owl,Radscha-Zwergohreule,Otus brookii,Aves,Strigiformes,['Otus brookii']
11839,Otus brucei,Pallid Scops-Owl,pasowl3,Otus brucei,Pallid Scops Owl,Streifen-Zwergohreule,Otus brucei,Aves,Strigiformes,['Otus brucei']
11840,Otus capnodes,Anjouan Scops-Owl,ansowl2,Otus capnodes,Anjouan Scops Owl,Anjouan-Zwergohreule,Otus capnodes,Aves,Strigiformes,['Otus capnodes']
11841,Otus collari,Sangihe Scops-Owl,sansco1,Otus collari,Sangihe Scops Owl,Sangihe-Zwergohreule,Otus collari,Aves,Strigiformes,['Otus collari']
11842,Otus cyprius,Cyprus Scops-Owl,eursco3,Otus cyprius,Cyprus Scops Owl,Zypern-Zwergohreule,Otus cyprius,Aves,Strigiformes,['Otus cyprius']
11843,Otus elegans,Ryukyu Scops-Owl,ryusco1,Otus elegans,Ryukyu Scops Owl,Schmuck-Zwergohreule,Otus elegans,Aves,Strigiformes,['Otus elegans']
11844,Otus enganensis,Enggano Scops-Owl,ensowl1,Otus enganensis,Enggano Scops Owl,Enggano-Zwergohreule,Otus enganensis,Aves,Strigiformes,['Otus enganensis']
11845,Otus everetti,Everett's Scops-Owl,evesco1,Otus everetti,Everett's Scops Owl,Everett-Zwergohreule,Otus everetti,Aves,Strigiformes,['Otus everetti']
11847,Otus senegalensis,African Scops-Owl,afsowl1,Otus senegalensis,African Scops Owl,Afrika-Zwergohreule,Otus senegalensis,Aves,Strigiformes,"['Otus feae', 'Otus senegalensis']"
11848,Otus fuliginosus,Palawan Scops-Owl,pasowl2,Otus fuliginosus,Palawan Scops Owl,Palawan-Zwergohreule,Otus fuliginosus,Aves,Strigiformes,['Otus fuliginosus']
11849,Otus gurneyi,Giant Scops-Owl,mineao1,Otus gurneyi,Giant Scops Owl,Rot-Zwergohreule,Otus gurneyi,Aves,Strigiformes,['Otus gurneyi']
11850,Otus hartlaubi,Sao Tome Scops-Owl,stsowl1,Otus hartlaubi,Sao Tome Scops Owl,Hartlaub-Zwergohreule,Otus hartlaubi,Aves,Strigiformes,['Otus hartlaubi']
11851,Otus icterorhynchus,Sandy Scops-Owl,sasowl1,Otus icterorhynchus,Sandy Scops Owl,Gelbschnabel-Zwergohreule,Otus icterorhynchus,Aves,Strigiformes,['Otus icterorhynchus']
11852,Otus insularis,Seychelles Scops-Owl,sesowl1,Otus insularis,Seychelles Scops Owl,Seychellen-Zwergohreule,Otus insularis,Aves,Strigiformes,['Otus insularis']
11853,Otus ireneae,Sokoke Scops-Owl,sosowl1,Otus ireneae,Sokoke Scops Owl,Sokoke-Zwergohreule,Otus ireneae,Aves,Strigiformes,['Otus ireneae']
11854,Otus jolandae,Rinjani Scops-Owl,rinsco1,Otus jolandae,Rinjani Scops Owl,Lombok-Zwergohreule,Otus jolandae,Aves,Strigiformes,['Otus jolandae']
11855,Otus lempiji,Sunda Scops-Owl,susowl2,Otus lempiji,Sunda Scops Owl,Sunda-Zwergohreule,Otus lempiji,Aves,Strigiformes,['Otus lempiji']
11856,Otus lettia,Collared Scops-Owl,cosowl1,Otus lettia,Collared Scops Owl,Halsband-Zwergohreule,Otus lettia,Aves,Strigiformes,['Otus lettia']
