id,sciName (Clements/eBird/ML),comNameEn (Clements/eBird/ML),code (Clements/eBird/ML),sciName (IOC),comNameEn (IOC),comNameDe (IOC/DOG),sciName (GBIF),class (GBIF),order (GBIF),sciNameSynonyms
4549,Coturnix delegorguei,Harlequin Quail,harqua1,Coturnix delegorguei,Harlequin Quail,Harlekinwachtel,Coturnix delegorguei,Aves,Galliformes,['Coturnix delegorguei']
4550,Coturnix japonica,Japanese Quail,japqua,Coturnix japonica,Japanese Quail,Japanwachtel,Coturnix japonica,Aves,Galliformes,['Coturnix japonica']
4551,Coturnix pectoralis,Stubble Quail,stuqua1,Coturnix pectoralis,Stubble Quail,Schwarzbrustwachtel,Coturnix pectoralis,Aves,Galliformes,['Coturnix pectoralis']
4552,Coua caerulea,Blue Coua,blucou1,Coua caerulea,Blue Coua,Blauseidenkuckuck,Coua caerulea,Aves,Cuculiformes,['Coua caerulea']
4553,Coua coquereli,Coquerel's Coua,coqcou1,Coua coquereli,Coquerel's Coua,Coquerel-Seidenkuckuck,Coua coquereli,Aves,Cuculiformes,['Coua coquereli']
4554,Coua cristata,Crested Coua,crecou1,Coua cristata,Crested Coua,Schopfseidenkuckuck,Coua cristata,Aves,Cuculiformes,['Coua cristata']
4555,Coua cursor,Running Coua,runcou1,Coua cursor,Running Coua,Gelbkehl-Seidenkuckuck,Coua cursor,Aves,Cuculiformes,['Coua cursor']
4556,Coua gigas,Giant Coua,giacou1,Coua gigas,Giant Coua,Riesenseidenkuckuck,Coua gigas,Aves,Cuculiformes,['Coua gigas']
4557,Coua olivaceiceps,Olive-capped Coua,reccou3,Coua olivaceiceps,Olive-capped Coua,,Coua ruficeps,Aves,Cuculiformes,"['Coua olivaceiceps', 'Coua ruficeps']"
4558,Coua ruficeps,Red-capped Coua,reccou2,Coua ruficeps,Red-capped Coua,Rostkappen-Seidenkuckuck,Coua ruficeps,Aves,Cuculiformes,['Coua ruficeps']
4559,Coua reynaudii,Red-fronted Coua,refcou1,Coua reynaudii,Red-fronted Coua,Rotstirn-Seidenkuckuck,Coua reynaudii,Aves,Cuculiformes,['Coua reynaudii']
4560,Coua serriana,Red-breasted Coua,rebcou1,Coua serriana,Red-breasted Coua,Rotbrust-Seidenkuckuck,Coua serriana,Aves,Cuculiformes,['Coua serriana']
4561,Coua verreauxi,Verreaux's Coua,vercou1,Coua verreauxi,Verreaux's Coua,Breitschopf-Seidenkuckuck,Coua verreauxi,Aves,Cuculiformes,['Coua verreauxi']
4562,Cracticus argenteus,Silver-backed Butcherbird,sibbut1,Cracticus argenteus,Silver-backed Butcherbird,Silberrücken-Krähenstar,Cracticus torquatus,Aves,Passeriformes,"['Cracticus argenteus', 'Cracticus torquatus']"
4563,Cracticus torquatus,Gray Butcherbird,grybut1,Cracticus torquatus,Grey Butcherbird,Graurücken-Krähenstar,Cracticus torquatus,Aves,Passeriformes,['Cracticus torquatus']
4564,Cracticus cassicus,Hooded Butcherbird,hoobut1,Cracticus cassicus,Hooded Butcherbird,Papuakrähenstar,Cracticus cassicus,Aves,Passeriformes,['Cracticus cassicus']
4565,Cracticus louisiadensis,Tagula Butcherbird,tagbut1,Cracticus louisiadensis,Tagula Butcherbird,Louisiadenkrähenstar,Cracticus louisiadensis,Aves,Passeriformes,['Cracticus louisiadensis']
4566,Cracticus mentalis,Black-backed Butcherbird,blbbut1,Cracticus mentalis,Black-backed Butcherbird,Schwarzrücken-Krähenstar,Cracticus mentalis,Aves,Passeriformes,['Cracticus mentalis']
4567,Cracticus nigrogularis,Pied Butcherbird,piebut1,Cracticus nigrogularis,Pied Butcherbird,Schwarzkehl-Krähenstar,Cracticus nigrogularis,Aves,Passeriformes,['Cracticus nigrogularis']
4568,Cracticus quoyi,,,,,,Cracticus quoyi,Aves,Passeriformes,['Cracticus quoyi']
4569,Crambidia pallida,Crambidia pallida,t-11389101,,,,Crambidia pallida,Insecta,Lepidoptera,['Crambidia pallida']
4570,Cranioleuca albicapilla,Creamy-crested Spinetail,crcspi1,Cranioleuca albicapilla,Creamy-crested Spinetail,Fahlkappen-Baumschlüpfer,Cranioleuca albicapilla,Aves,Passeriformes,['Cranioleuca albicapilla']
4571,Cranioleuca albiceps,Light-crowned Spinetail,licspi1,Cranioleuca albiceps,Light-crowned Spinetail,Hellscheitel-Baumschlüpfer,Cranioleuca albiceps,Aves,Passeriformes,['Cranioleuca albiceps']
4572,Cranioleuca antisiensis,Line-cheeked Spinetail,licspi5,Cranioleuca antisiensis,Line-cheeked Spinetail,Olivrücken-Baumschlüpfer,Cranioleuca antisiensis,Aves,Passeriformes,['Cranioleuca antisiensis']
4573,Cranioleuca berlepschi,Russet-mantled Softtail,rumsof1,Cranioleuca berlepschi,Russet-mantled Softtail,Graustirncanastero,Cranioleuca berlepschi,Aves,Passeriformes,['Cranioleuca berlepschi']
4574,Cranioleuca curtata,Ash-browed Spinetail,asbspi1,Cranioleuca curtata,Ash-browed Spinetail,Graubrauen-Baumschlüpfer,Cranioleuca curtata,Aves,Passeriformes,['Cranioleuca curtata']
4575,Cranioleuca demissa,Tepui Spinetail,tepspi1,Cranioleuca demissa,Tepui Spinetail,Tepuibaumschlüpfer,Cranioleuca demissa,Aves,Passeriformes,['Cranioleuca demissa']
4576,Cranioleuca dissita,Coiba Spinetail,rubspi5,Cranioleuca dissita,Coiba Spinetail,Weißkinn-Baumschlüpfer,Cranioleuca vulpina,Aves,Passeriformes,"['Cranioleuca dissita', 'Cranioleuca vulpina']"
4577,Cranioleuca vulpina,Rusty-backed Spinetail,rubspi4,Cranioleuca vulpina,Rusty-backed Spinetail,Rostrücken-Baumschlüpfer,Cranioleuca vulpina,Aves,Passeriformes,['Cranioleuca vulpina']
4578,Cranioleuca erythrops,Red-faced Spinetail,refspi1,Cranioleuca erythrops,Red-faced Spinetail,Rotgesicht-Baumschlüpfer,Cranioleuca erythrops,Aves,Passeriformes,['Cranioleuca erythrops']
4579,Thripophaga gutturata,Speckled Spinetail,spespi1,Thripophaga gutturata,Speckled Spinetail,Fleckenbrust-Baumschlüpfer,Cranioleuca gutturata,Aves,Passeriformes,"['Cranioleuca gutturata', 'Thripophaga gutturata']"
4581,Cranioleuca hellmayri,Streak-capped Spinetail,stcspi1,Cranioleuca hellmayri,Streak-capped Spinetail,Santa-Marta-Baumschlüpfer,Cranioleuca hellmayri,Aves,Passeriformes,['Cranioleuca hellmayri']
4582,Cranioleuca henricae,Bolivian Spinetail,bolspi1,Cranioleuca henricae,Bolivian Spinetail,La-Paz-Baumschlüpfer,Cranioleuca henricae,Aves,Passeriformes,['Cranioleuca henricae']
4583,Cranioleuca marcapatae,Marcapata Spinetail,marspi2,Cranioleuca marcapatae,Marcapata Spinetail,Marcapata-Baumschlüpfer,Cranioleuca marcapatae,Aves,Passeriformes,['Cranioleuca marcapatae']
4584,Cranioleuca muelleri,Scaled Spinetail,scaspi1,Cranioleuca muelleri,Scaled Spinetail,Schuppenbauch-Baumschlüpfer,Cranioleuca muelleri,Aves,Passeriformes,['Cranioleuca muelleri']
4585,Cranioleuca obsoleta,Olive Spinetail,olispi1,Cranioleuca obsoleta,Olive Spinetail,Braunoliv-Baumschlüpfer,Cranioleuca obsoleta,Aves,Passeriformes,['Cranioleuca obsoleta']
4586,Cranioleuca pallida,Pallid Spinetail,palspi1,Cranioleuca pallida,Pallid Spinetail,Minas-Gerais-Baumschlüpfer,Cranioleuca pallida,Aves,Passeriformes,['Cranioleuca pallida']
4587,Cranioleuca pyrrhophia,Stripe-crowned Spinetail,stcspi2,Cranioleuca pyrrhophia,Stripe-crowned Spinetail,Streifenscheitel-Baumschlüpfer,Cranioleuca pyrrhophia,Aves,Passeriformes,['Cranioleuca pyrrhophia']
4588,Cranioleuca semicinerea,Gray-headed Spinetail,gyhspi1,Cranioleuca semicinerea,Grey-headed Spinetail,Graukopf-Baumschlüpfer,Cranioleuca semicinerea,Aves,Passeriformes,['Cranioleuca semicinerea']
4589,Cranioleuca subcristata,Crested Spinetail,crespi1,Cranioleuca subcristata,Crested Spinetail,Strichelscheitel-Baumschlüpfer,Cranioleuca subcristata,Aves,Passeriformes,['Cranioleuca subcristata']
4590,Limnoctites sulphuriferus,Sulphur-bearded Reedhaunter,sutspi1,Limnoctites sulphuriferus,Sulphur-bearded Reedhaunter,Flügelspiegel-Riedschlüpfer,Cranioleuca sulphurifera,Aves,Passeriformes,"['Cranioleuca sulphurifera', 'Limnoctites sulphuriferus']"
4591,Cranioleuca vulpecula,Parker's Spinetail,parspi1,Cranioleuca vulpecula,Parker's Spinetail,Flussbaumschlüpfer,Cranioleuca vulpecula,Aves,Passeriformes,['Cranioleuca vulpecula']
4592,Cranistus colliurides,,,,,,Cranistus colliurides,Insecta,Orthoptera,['Cranistus colliurides']
4593,Craseonycteris thonglongyai,,,,,,Craseonycteris thonglongyai,Mammalia,Chiroptera,['Craseonycteris thonglongyai']
4594,Craspedacusta sowerbii,,,,,,Craspedacusta sowerbii,Hydrozoa,Limnomedusae,['Craspedacusta sowerbii']
4595,Ostrya virginiana,,,,,,Crassostrea virginica,Bivalvia,Ostreida,"['Crassostrea virginica', 'Ostrya virginiana']"
4596,Origma murina,Rusty Mouse-Warbler,rumwar1,Origma murina,Rusty Mouse-warbler,Braunrückenhuscher,Crateroscelis murina,Aves,Passeriformes,"['Crateroscelis murina', 'Origma murina']"
4598,Origma robusta,Mountain Mouse-Warbler,momwar1,Origma robusta,Mountain Mouse-warbler,Braunbauchhuscher,Crateroscelis robusta,Aves,Passeriformes,"['Crateroscelis robusta', 'Origma robusta']"
4600,Craugastor augusti,Barking Frog,t-11144970,,,,Craugastor augusti,Amphibia,Anura,['Craugastor augusti']
4601,Craugastor bransfordii,Craugastor bransfordii,t-11116287,,,,Craugastor bransfordii,Amphibia,Anura,['Craugastor bransfordii']
4602,Craugastor crassidigitus,Craugastor crassidigitus,t-11148137,,,,Craugastor crassidigitus,Amphibia,Anura,['Craugastor crassidigitus']
4603,Craugastor fitzingeri,Craugastor fitzingeri,t-11039500,,,,Craugastor fitzingeri,Amphibia,Anura,['Craugastor fitzingeri']
4604,Craugastor loki,,,,,,Craugastor loki,Amphibia,Anura,['Craugastor loki']
4605,Craugastor longirostris,,,,,,Craugastor longirostris,Amphibia,Anura,['Craugastor longirostris']
4606,Craugastor noblei,,,,,,Craugastor noblei,Amphibia,Anura,['Craugastor noblei']
4607,Craugastor pygmaeus,,,,,,Craugastor pygmaeus,Amphibia,Anura,['Craugastor pygmaeus']
4608,Craugastor raniformis,,,,,,Craugastor raniformis,Amphibia,Anura,['Craugastor raniformis']
4609,Craugastor rupinius,,,,,,Craugastor rupinius,Amphibia,Anura,['Craugastor rupinius']
4610,Craugastor talamancae,Craugastor talamancae,t-11044341,,,,Craugastor talamancae,Amphibia,Anura,['Craugastor talamancae']
4611,Craugastor underwoodi,,,,,,Craugastor underwoodi,Amphibia,Anura,['Craugastor underwoodi']
4612,Craugastor yucatanensis,,,,,,Craugastor yucatanensis,Amphibia,Anura,['Craugastor yucatanensis']
4613,Craugastoridae,Fleshbelly Frogs,t-12030686,,,,,Amphibia,Anura,['Craugastoridae']
4614,Crax alberti,Blue-billed Curassow,bubcur1,Crax alberti,Blue-billed Curassow,Blaulappenhokko,Crax alberti,Aves,Galliformes,['Crax alberti']
4615,Crax alector,Black Curassow,blacur1,Crax alector,Black Curassow,Glattschnabelhokko,Crax alector,Aves,Galliformes,['Crax alector']
4616,Crax blumenbachii,Red-billed Curassow,rebcur1,Crax blumenbachii,Red-billed Curassow,Rotschnabelhokko,Crax blumenbachii,Aves,Galliformes,['Crax blumenbachii']
4617,Crax daubentoni,Yellow-knobbed Curassow,yekcur1,Crax daubentoni,Yellow-knobbed Curassow,Gelblappenhokko,Crax daubentoni,Aves,Galliformes,['Crax daubentoni']
4618,Crax fasciolata,Bare-faced Curassow,bafcur1,Crax fasciolata,Bare-faced Curassow,Nacktgesichthokko,Crax fasciolata,Aves,Galliformes,['Crax fasciolata']
4619,Crax globulosa,Wattled Curassow,watcur1,Crax globulosa,Wattled Curassow,Rotlappenhokko,Crax globulosa,Aves,Galliformes,['Crax globulosa']
4620,Crax rubra,Great Curassow,grecur1,Crax rubra,Great Curassow,Kronenhokko,Crax rubra,Aves,Galliformes,['Crax rubra']
4621,Creagrus furcatus,Swallow-tailed Gull,swtgul1,Creagrus furcatus,Swallow-tailed Gull,Gabelschwanzmöwe,Creagrus furcatus,Aves,Charadriiformes,['Creagrus furcatus']
4622,Creatophora cinerea,Wattled Starling,watsta1,Creatophora cinerea,Wattled Starling,Lappenstar,Creatophora cinerea,Aves,Passeriformes,['Creatophora cinerea']
4623,Crecopsis egregia,African Crake,afrcra1,Crecopsis egregia,African Crake,Savannenralle,Crex egregia,Aves,Gruiformes,"['Crecopsis egregia', 'Crex egregia']"
4624,Crepidiastrum platyphyllum,,,,,,,,,['Crepidiastrum platyphyllum']
4625,Creurgops dentatus,Slaty Tanager,slatan2,Creurgops dentatus,Slaty Tanager,Schiefertangare,Creurgops dentatus,Aves,Passeriformes,['Creurgops dentatus']
4626,Creurgops verticalis,Rufous-crested Tanager,ructan4,Creurgops verticalis,Rufous-crested Tanager,Ockerschopftangare,Creurgops verticalis,Aves,Passeriformes,['Creurgops verticalis']
4627,Crex crex,Corn Crake,corcra,Crex crex,Corn Crake,Wachtelkönig,Crex crex,Aves,Gruiformes,['Crex crex']
4628,Cricetidae,"Hamsters, Voles, Lemmings, and Allies",t-12034736,,,,,Mammalia,Rodentia,['Cricetidae']
4629,Crinia bilingua,,,,,,Crinia bilingua,Amphibia,Anura,['Crinia bilingua']
4630,Crinia deserticola,,,,,,Crinia deserticola,Amphibia,Anura,['Crinia deserticola']
4631,Crinia georgiana,,,,,,Crinia georgiana,Amphibia,Anura,['Crinia georgiana']
4632,Crinia glauerti,,,,,,Crinia glauerti,Amphibia,Anura,['Crinia glauerti']
4633,Crinia insignifera,,,,,,Crinia insignifera,Amphibia,Anura,['Crinia insignifera']
4634,Crinia nimbus,,,,,,Crinia nimbus,Amphibia,Anura,['Crinia nimbus']
4635,Crinia parinsignifera,Crinia parinsignifera,t-11134932,,,,Crinia parinsignifera,Amphibia,Anura,['Crinia parinsignifera']
4636,Crinia pseudinsignifera,,,,,,Crinia pseudinsignifera,Amphibia,Anura,['Crinia pseudinsignifera']
4637,Crinia remota,,,,,,Crinia remota,Amphibia,Anura,['Crinia remota']
4638,Crinia riparia,,,,,,Crinia riparia,Amphibia,Anura,['Crinia riparia']
4639,Crinia signifera,Crinia signifera,t-11047211,,,,Crinia signifera,Amphibia,Anura,['Crinia signifera']
4640,Crinia sloanei,,,,,,Crinia sloanei,Amphibia,Anura,['Crinia sloanei']
4641,Crinia subinsignifera,,,,,,Crinia subinsignifera,Amphibia,Anura,['Crinia subinsignifera']
4642,Crinia tasmaniensis,Crinia tasmaniensis,t-11143716,,,,Crinia tasmaniensis,Amphibia,Anura,['Crinia tasmaniensis']
4643,Crinia tinnula,,,,,,Crinia tinnula,Amphibia,Anura,['Crinia tinnula']
4644,Crinifer piscator,Western Plantain-eater,wesple1,Crinifer piscator,Western Plantain-eater,Schwarzschwanz-Lärmvogel,Crinifer piscator,Aves,Musophagiformes,['Crinifer piscator']
4645,Crinifer zonurus,Eastern Plantain-eater,easple1,Crinifer zonurus,Eastern Plantain-eater,Bindenlärmvogel,Crinifer zonurus,Aves,Musophagiformes,['Crinifer zonurus']
4646,Criniger barbatus,Western Bearded-Greenbul,wesbeg1,Criniger barbatus,Western Bearded Greenbul,Gelbkehl-Haarbülbül,Criniger barbatus,Aves,Passeriformes,['Criniger barbatus']
4647,Criniger calurus,Red-tailed Greenbul,retgre1,Criniger calurus,Red-tailed Greenbul,Rotschwanz-Haarbülbül,Criniger calurus,Aves,Passeriformes,['Criniger calurus']
4648,Criniger chloronotus,Eastern Bearded-Greenbul,easbeg1,Criniger chloronotus,Eastern Bearded Greenbul,Graubrust-Haarbülbül,Criniger chloronotus,Aves,Passeriformes,['Criniger chloronotus']
4649,Criniger ndussumensis,White-bearded Greenbul,whbgre1,Criniger ndussumensis,White-bearded Greenbul,Weißkehl-Haarbülbül,Criniger ndussumensis,Aves,Passeriformes,['Criniger ndussumensis']
4650,Criniger olivaceus,Yellow-bearded Greenbul,yebgre3,Criniger olivaceus,Yellow-bearded Greenbul,Olivrücken-Haarbülbül,Criniger olivaceus,Aves,Passeriformes,['Criniger olivaceus']
4651,Crioceris asparagi,,,,,,Crioceris asparagi,Insecta,Coleoptera,['Crioceris asparagi']
4652,Crioceris duodecimpunctata,,,,,,Crioceris duodecimpunctata,Insecta,Coleoptera,['Crioceris duodecimpunctata']
4653,Crioceris quatuordecimpunctata,,,,,,Crioceris quatuordecimpunctata,Insecta,Coleoptera,['Crioceris quatuordecimpunctata']
4654,Criorhina nigripes,,,,,,Criorhina nigripes,Insecta,Diptera,['Criorhina nigripes']
4655,Crithagra alario,,,,,,,Aves,Passeriformes,['Crithagra alario']
4656,Crithagra albogularis,White-throated Canary,whtcan1,Crithagra albogularis,White-throated Canary,Weißkehlgirlitz,Crithagra albogularis,Aves,Passeriformes,['Crithagra albogularis']
4657,Crithagra ankoberensis,Ankober Serin,ankser2,Crithagra ankoberensis,Ankober Serin,Ankobergirlitz,Crithagra ankoberensis,Aves,Passeriformes,['Crithagra ankoberensis']
4658,Crithagra atrogularis,Black-throated Canary,bltcan1,Crithagra atrogularis,Black-throated Canary,Angolagirlitz,Crithagra atrogularis,Aves,Passeriformes,['Crithagra atrogularis']
4659,Crithagra buchanani,Southern Grosbeak-Canary,sougrc1,Crithagra buchanani,Southern Grosbeak-Canary,Buchanangirlitz,Crithagra buchanani,Aves,Passeriformes,['Crithagra buchanani']
4660,Crithagra burtoni,Thick-billed Seedeater,thbsee1,Crithagra burtoni,Thick-billed Seedeater,Dickschnabelgirlitz,Crithagra burtoni,Aves,Passeriformes,['Crithagra burtoni']
4661,Crithagra canicapilla,West African Seedeater,sthsee3,Crithagra canicapilla,West African Seedeater,Nordbrauengirlitz,Crithagra canicapilla,Aves,Passeriformes,['Crithagra canicapilla']
4662,Crithagra capistrata,Black-faced Canary,blfcan1,Crithagra capistrata,Black-faced Canary,Zügelgirlitz,Crithagra capistrata,Aves,Passeriformes,['Crithagra capistrata']
4663,Crithagra citrinelloides,African Citril,afrcit1,Crithagra citrinelloides,African Citril,Dünnschnabelgirlitz,Crithagra citrinelloides,Aves,Passeriformes,['Crithagra citrinelloides']
4664,Crithagra citrinipectus,Lemon-breasted Seedeater,lebsee1,Crithagra citrinipectus,Lemon-breasted Canary,Gelbbrustgirlitz,Crithagra citrinipectus,Aves,Passeriformes,['Crithagra citrinipectus']
4665,Crithagra concolor,Sao Tome Grosbeak,satgro1,Crithagra concolor,Sao Tome Grosbeak,Einfarbgirlitz,Crithagra concolor,Aves,Passeriformes,['Crithagra concolor']
4666,Crithagra donaldsoni,Northern Grosbeak-Canary,norgrc1,Crithagra donaldsoni,Northern Grosbeak-Canary,Donaldsongirlitz,Crithagra donaldsoni,Aves,Passeriformes,['Crithagra donaldsoni']
4667,Crithagra dorsostriata,White-bellied Canary,whbcan1,Crithagra dorsostriata,White-bellied Canary,Weißbauchgirlitz,Crithagra dorsostriata,Aves,Passeriformes,['Crithagra dorsostriata']
4668,Crithagra flavigula,Yellow-throated Serin,yetser1,Crithagra flavigula,Yellow-throated Seedeater,Gelbkehlgirlitz,Crithagra flavigula,Aves,Passeriformes,['Crithagra flavigula']
4669,Crithagra flaviventris,Yellow Canary,yelcan1,Crithagra flaviventris,Yellow Canary,Gelbbauchgirlitz,Crithagra flaviventris,Aves,Passeriformes,['Crithagra flaviventris']
4670,Crithagra frontalis,Western Citril,wescit1,Crithagra frontalis,Western Citril,Diademgirlitz,Crithagra frontalis,Aves,Passeriformes,['Crithagra frontalis']
4671,Crithagra gularis,Streaky-headed Seedeater,sthsee2,Crithagra gularis,Streaky-headed Seedeater,Südbrauengirlitz,Crithagra gularis,Aves,Passeriformes,['Crithagra gularis']
4672,Crithagra hyposticta,Southern Citril,soucit1,Crithagra hyposticta,Southern Citril,Streifengirlitz,Crithagra hyposticta,Aves,Passeriformes,['Crithagra hyposticta']
4673,Crithagra koliensis,Papyrus Canary,papcan1,Crithagra koliensis,Papyrus Canary,Papyrusgirlitz,Crithagra koliensis,Aves,Passeriformes,['Crithagra koliensis']
4674,Crithagra leucoptera,Protea Canary,procan1,Crithagra leucoptera,Protea Canary,Proteagirlitz,Crithagra leucoptera,Aves,Passeriformes,['Crithagra leucoptera']
4675,Crithagra leucopygia,White-rumped Seedeater,whrsee,Crithagra leucopygia,White-rumped Seedeater,Weißbürzelgirlitz,Crithagra leucopygia,Aves,Passeriformes,['Crithagra leucopygia']
4676,Crithagra melanochroa,Kipengere Seedeater,tansee1,Crithagra melanochroa,Kipengere Seedeater,Tansaniagirlitz,Crithagra melanochroa,Aves,Passeriformes,['Crithagra melanochroa']
4677,Crithagra menachensis,Yemen Serin,yemser1,Crithagra menachensis,Yemen Serin,Jemengirlitz,Crithagra menachensis,Aves,Passeriformes,['Crithagra menachensis']
4678,Crithagra mennelli,Black-eared Seedeater,blesee1,Crithagra mennelli,Black-eared Seedeater,Schwarzwangengirlitz,Crithagra mennelli,Aves,Passeriformes,['Crithagra mennelli']
4679,Crithagra mozambica,Yellow-fronted Canary,yefcan,Crithagra mozambica,Yellow-fronted Canary,Mosambikgirlitz,Crithagra mozambica,Aves,Passeriformes,['Crithagra mozambica']
4680,Crithagra reichardi,Reichard's Seedeater,reisee4,Crithagra reichardi,Reichard's Seedeater,Miombogirlitz,Crithagra reichardi,Aves,Passeriformes,['Crithagra reichardi']
4681,Crithagra striatipectus,Stripe-breasted Seedeater,reisee3,Crithagra striatipectus,Stripe-breasted Seedeater,Streifenbrustgirlitz,Crithagra reichardi,Aves,Passeriformes,"['Crithagra reichardi', 'Crithagra striatipectus']"
4682,Crithagra reichenowi,Reichenow's Seedeater,reisee2,Crithagra reichenowi,Reichenow's Seedeater,Reichenowgirlitz,Crithagra reichenowi,Aves,Passeriformes,['Crithagra reichenowi']
4683,Crithagra rothschildi,Arabian Serin,olrser1,Crithagra rothschildi,Arabian Serin,Medinagirlitz,Crithagra rothschildi,Aves,Passeriformes,['Crithagra rothschildi']
4684,Crithagra rufobrunnea,Principe Seedeater,prisee1,Crithagra rufobrunnea,Principe Seedeater,Príncipegirlitz,Crithagra rufobrunnea,Aves,Passeriformes,['Crithagra rufobrunnea']
4685,Crithagra scotops,Forest Canary,forcan1,Crithagra scotops,Forest Canary,Waldgirlitz,Crithagra scotops,Aves,Passeriformes,['Crithagra scotops']
4686,Crithagra striolata,Streaky Seedeater,strsee1,Crithagra striolata,Streaky Seedeater,Strichelgirlitz,Crithagra striolata,Aves,Passeriformes,['Crithagra striolata']
4687,Crithagra sulphurata,Brimstone Canary,brican1,Crithagra sulphurata,Brimstone Canary,Schwefelgirlitz,Crithagra sulphurata,Aves,Passeriformes,['Crithagra sulphurata']
4688,Crithagra symonsi,Drakensberg Siskin,drasis2,Crithagra symonsi,Drakensberg Siskin,Basutogirlitz,Crithagra symonsi,Aves,Passeriformes,['Crithagra symonsi']
4689,Crithagra totta,Cape Siskin,capsis2,Crithagra totta,Cape Siskin,Kapgirlitz,Crithagra totta,Aves,Passeriformes,['Crithagra totta']
4690,Crithagra tristriata,Brown-rumped Seedeater,brrsee1,Crithagra tristriata,Brown-rumped Seedeater,Rüppellgirlitz,Crithagra tristriata,Aves,Passeriformes,['Crithagra tristriata']
4691,Crithagra whytii,Yellow-browed Seedeater,yebsee2,Crithagra whytii,Yellow-browed Seedeater,Whytigirlitz,Crithagra whytii,Aves,Passeriformes,['Crithagra whytii']
4692,Crithagra xantholaema,Salvadori's Serin,salser1,Crithagra xantholaema,Salvadori's Seedeater,Salvadorigirlitz,Crithagra xantholaema,Aves,Passeriformes,['Crithagra xantholaema']
4693,Crithagra xanthopygia,Yellow-rumped Serin,yerser1,Crithagra xanthopygia,Yellow-rumped Seedeater,Graubrustgirlitz,Crithagra xanthopygia,Aves,Passeriformes,['Crithagra xanthopygia']
4694,Laniellus albonotatus,Spotted Crocias,spocro1,Laniellus albonotatus,Spotted Crocias,Fleckenwürgerhäherling,Crocias albonotatus,Aves,Passeriformes,"['Crocias albonotatus', 'Laniellus albonotatus']"
4695,Laniellus langbianis,Gray-crowned Crocias,gyccro1,Laniellus langbianis,Grey-crowned Crocias,Grauscheitel-Würgerhäherling,Crocias langbianis,Aves,Passeriformes,"['Crocias langbianis', 'Laniellus langbianis']"
4696,Crocidura leucodon,,,,,,Crocidura leucodon,Mammalia,Soricomorpha,['Crocidura leucodon']
4697,Crocidura russula,,,,,,Crocidura russula,Mammalia,Soricomorpha,['Crocidura russula']
4698,Crocuta crocuta,Spotted Hyena,t-11074122,,,,Crocuta crocuta,Mammalia,Carnivora,['Crocuta crocuta']
4699,Crossleyia tenebrosa,Dusky Tetraka,dustet1,Crossleyia tenebrosa,Dusky Tetraka,Sianakamadagaskarsänger,Xanthomixis tenebrosa,Aves,Passeriformes,"['Crossleyia tenebrosa', 'Xanthomixis tenebrosa']"
4701,Crossleyia xanthophrys,Madagascar Yellowbrow,yeboxy1,Crossleyia xanthophrys,Madagascar Yellowbrow,Gelbbrauen-Madagaskarsänger,Crossleyia xanthophrys,Aves,Passeriformes,['Crossleyia xanthophrys']
4702,Crossodactylus gaudichaudii,,,,,,Crossodactylus gaudichaudii,Amphibia,Anura,['Crossodactylus gaudichaudii']
4703,Crossoptilon auritum,Blue Eared-Pheasant,blephe1,Crossoptilon auritum,Blue Eared Pheasant,Blauflügel-Ohrfasan,Crossoptilon auritum,Aves,Galliformes,['Crossoptilon auritum']
4704,Crossoptilon crossoptilon,White Eared-Pheasant,whieap1,Crossoptilon crossoptilon,White Eared Pheasant,Weißflügel-Ohrfasan,Crossoptilon crossoptilon,Aves,Galliformes,['Crossoptilon crossoptilon']
4705,Crossoptilon harmani,Tibetan Eared-Pheasant,whieap2,Crossoptilon harmani,Tibetan Eared Pheasant,Tibetohrfasan,Crossoptilon harmani,Aves,Galliformes,['Crossoptilon harmani']
4706,Crossoptilon mantchuricum,Brown Eared-Pheasant,brephe1,Crossoptilon mantchuricum,Brown Eared Pheasant,Braunflügel-Ohrfasan,Crossoptilon mantchuricum,Aves,Galliformes,['Crossoptilon mantchuricum']
4707,Crossosoma californicum,,,,,,,Diplopoda,Chordeumatida,['Crossosoma californicum']
4708,Crotalaria spectabilis,,,,,,,Insecta,,['Crotalaria spectabilis']
4709,Crotalus adamanteus,Eastern Diamondback Rattlesnake,t-11774507,,,,Crotalus adamanteus,Squamata,,['Crotalus adamanteus']
4710,Crotalus atrox,Western Diamond-backed Rattlesnake,t-11756105,,,,Crotalus atrox,Squamata,,['Crotalus atrox']
4711,Crotalus basiliscus,,,,,,Crotalus basiliscus,Squamata,,['Crotalus basiliscus']
4712,Crotalus cerastes,Sidewinder,t-11772298,,,,Crotalus cerastes,Squamata,,['Crotalus cerastes']
4713,Crotalus durissus,,,,,,Crotalus durissus,Squamata,,['Crotalus durissus']
4714,Crotalus horridus,,,,,,Crotalus horridus,Squamata,,['Crotalus horridus']
4715,Crotalus molossus,,,,,,Crotalus molossus,Squamata,,['Crotalus molossus']
4716,Crotalus oreganus,,,,,,Crotalus oreganus,Squamata,,['Crotalus oreganus']
4717,Crotalus ornatus,,,,,,Crotalus ornatus,Squamata,,['Crotalus ornatus']
4718,Crotalus polystictus,,,,,,Crotalus polystictus,Squamata,,['Crotalus polystictus']
4719,Crotalus pyrrhus,,,,,,Crotalus pyrrhus,Squamata,,['Crotalus pyrrhus']
4720,Crotalus ruber,,,,,,Crotalus ruber,Squamata,,['Crotalus ruber']
