idx,sci_name,com_name,species_code,class_name,common_name_ru,common_name_de,common_name_es,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_zh-CN,common_name_bg,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_hr,common_name_es_EC,common_name_lt,common_name_fa,common_name_zh,common_name_cy
4913,Egretta sacra,Pacific Reef Heron,pacreh1,aves,Восточная рифовая цапля,Riffreiher,Garceta de Arrecife,volavka pobřežní,Aigrette sacrée,Rifreiger,czapla czczona,クロサギ,garça-dos-recifes-oriental,martinet sagrat,岩鹭,Източна рифова чапла,sothegre,korallhäger,Østlig Revhejre,volavka posvätná,Чепура тихоокеанська,Pasifik Kıyı Balıkçılı,korallihaikara,Pacifička čaplja,Garceta de arrecife,Garceta de Arrecife,Garça-dos-recifes-oriental,debelokljuna čaplja,Garza de los arrecifes,Rifinis garnys,حواصیل اقیانوس آرام,岩鹭,Crëyr traethau dwyreiniol
4914,Egretta thula,Snowy Egret,snoegr,aves,Снежная цапля,Schmuckreiher,Garceta Nívea,volavka bělostná,Aigrette neigeuse,Amerikaanse kleine zilverreiger,czapla śnieżna,ユキコサギ,garça-branca-pequena,martinet blanc americà,雪鹭,Снежна чапла,snøhegre,snöhäger,Snehejre,volavka žltoprstá,Чепура американська,Karbeyaz Balıkçıl,lumihaikara,Snežna čaplja,Garceta nívea,Garza Dedos Dorados,Garça-branca-americana,snježna čaplja,Garceta Nívea,Snieginis garnys,قار برفی,雪鹭,Crëyr eirwyn
4915,Egretta tricolor,Tricolored Heron,triher,aves,Трёхцветная цапля,Dreifarbenreiher,Garceta Tricolor,volavka tříbarvá,Aigrette tricolore,Witbuikreiger,czapla trójbarwna,サンショクサギ,garça-tricolor,martinet tricolor,三色鹭,Трицветна чапла,prakthegre,trefärgad häger,Louisianahejre,volavka trojfarebná,Чепура трибарвна,Üç Renkli Balıkçıl,karibianhaikara,Trobojna čaplja,Garceta tricolor,Garza Tricolor,Garça-tricolor,trobojna čaplja,Garceta Tricolor,Trispalvis garnys,حواصیل سهرنگ,三色鷺,Crëyr trilliw
4916,Egretta vinaceigula,Slaty Egret,slaegr1,aves,Красногорлая цапля,Braunkehlreiher,Garceta Gorjirroja,volavka rudohrdlá,Aigrette vineuse,Sharpereiger,czapla łupkowata,ノドアカクロサギ,slaty egret,martinet gorja-roig,蓝灰鹭,Червеногуша чапла,ruststrupehegre,rödstrupig häger,Skifergrå Hejre,volavka bridlicová,Чепура ботсванійська,Al Gerdanlı Balıkçıl,ruskokurkkuhaikara,Škriljasta čaplja,Garceta gorjirroja,Garceta Gorjirroja,Slaty egret,riđogrla čaplja,Garceta Gorjirroja,Skalūninis garnys,قار گلوسرخ,蓝灰鹭,Crëyr llwyd
4917,Eidolon dupreanum,Madagascan Fruit Bat,40828,mammalia,Мадагаскарский крылан,Madagaskar-Palmenflughund,Madagascan Fruit Bat,Madagascan Fruit Bat,Roussette malgache couleur paille,Madagascarpalmvleerhond,Zjawa madagaskarska,マダガスカルストローオオコウモリ,Madagascan Fruit Bat,guineu voladora cremosa de Madagascar,马岛黄毛果蝠,мадагаскарски прилеп,Madagaskarpalmeflygehund,Madagascan Fruit Bat,Madagascan Fruit Bat,Madagascan Fruit Bat,Madagascan Fruit Bat,Madagascan Fruit Bat,madagaskarinkeltahekko,Madagascan Fruit Bat,Madagascan Fruit Bat,Madagascan Fruit Bat,Madagascan Fruit Bat,Madagascan Fruit Bat,Madagascan Fruit Bat,Madagascan Fruit Bat,خفاش میوه ماداگاسکار,Madagascan Fruit Bat,Madagascan Fruit Bat
4918,Eidolon helvum,Straw-coloured Fruit Bat,40827,mammalia,Пальмовый крылан,Afrikanischer Palmenflughund,Muercielágo de la Fruta de Color Pajizo,kaloň plavý,Roussette paillée africaine,Palmvleerhond,Zjawa płowa,ストローオオコウモリ,Morcego‑cor‑de‑palha,guineu voladora cremosa africana,黄毛果蝠,Сламеножълт плодояден пещерен прилеп,Palmeflygehund,Palmflyghund,Gul flyvehund,Straw-coloured Fruit Bat,Straw-coloured Fruit Bat,Straw-coloured Fruit Bat,keltahekko,Straw-coloured Fruit Bat,Straw-coloured Fruit Bat,Straw-coloured Fruit Bat,Straw-coloured Fruit Bat,Straw-coloured Fruit Bat,Straw-coloured Fruit Bat,Straw-coloured Fruit Bat,Straw-coloured Fruit Bat,黄毛果蝠,Straw-coloured Fruit Bat
4919,Eira barbara,Tayra,41774,mammalia,Тайра,Tayra,Viejo de monte,hyrare,Tayra,Tayra,hirara amerykańska,タイラ,Irara,taira,Tayra,тайра,Taira,tayra,Tayra,Tayra,Тайра,Tayra,taira,Tayra,Tayra,Tayra,Tayra,Tajra,Tayra,Pilkagalvė mangusta,راسوی پیرصورت,狐鼬,Tayra
4920,Elachistocleis bicolor,Two-colored oval frog,25092,amphibia,термитный узкорот,Two-colored oval frog,Sapito Panza Amarilla,parosnička dvoubarvá,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Sapinho-guarda,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog,Two-colored oval frog
4921,Elachistocleis cesarii,Elachistocleis cesarii,70603,amphibia,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii,Elachistocleis cesarii
4922,Elachistocleis helianneae,Elachistocleis helianneae,70604,amphibia,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae,Elachistocleis helianneae
4923,Elachistocleis panamensis,Panama Humming Frog,476538,amphibia,Panama Humming Frog,Panama Humming Frog,Ranita termitera,parosnička panamská,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Chiasmocleis panamensis,Chiasmocleis panamensis,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Chiasmocleis panamensis,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog,Panama Humming Frog
4924,Elachistocleis pearsei,Colombian Plump Frog,476537,amphibia,яйцевидный узкорот,Colombian Plump Frog,Rana Pingüina,parosnička buclatá,Colombian Plump Frog,Relictivomer pearsei,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Relictivomer pearsei,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog,Colombian Plump Frog
4925,Elachistocleis surinamensis,Surinam oval frog,25089,amphibia,пятнистобрюхий узкорот,Surinam oval frog,Sapito Apuntado De Surinam,parosnička surinamská,Élachistocle du Suriname,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog,Surinam oval frog
4926,Elachura formosa,Spotted Elachura,spwbab1,aves,Пятнистая элахура,Fleckenbrust-Kurzschwanz,Ratina Moteada,střízlíček skvrnitý,Élachure tachetée,Elachura,perłopiórka,シロボシサザイチメドリ,spotted elachura,elacura,丽星鹩鹛,Ориенталско орехче,prikksmett,pärlsmyg,Perleskæltimalie,orieškovec vločkatý,Рихтарик плямистий,Benekli Elaçura,saniaisvuoritimali,Pegava elahura,Ratina moteada,Ratina Moteada,Spotted elachura,biserasti striž,Ratina Moteada,Dėmėtasis karietaitinis plepys,خالدارک,丽星鹩鹛,Drywbreblyn mannog
4927,Elaenia albiceps,White-crested Elaenia,whcela1,aves,Белохохлая эления,Weißkronen-Olivtyrann,Fiofío Crestiblanco,elenie bělokorunkatá,Élénie à cimier blanc,Witkuifelenia,elenia białoczuba,シラギクタイランチョウ,guaracava-de-crista-branca,elènia crestablanca,白冠拟霸鹟,Белоглава еления,hvitisseelenia,vittofsad elenia,Hvidstribet Elænia,elénia ozdobená,Еленія білочуба,Ak Tepeli Elenya,harmaarintaelenia,Beloćuba elenija,Fiofío crestiblanco,Fiofío Crestiblanco,Guaracava-de-crista-branca,bjelokruna elenija,Elenia Crestiblanca,Baltakuodė elenija,ابروزردک کاکلسفید,White-crested Elaenia,Elaenia cribwyn
