idx,sci_name,com_name,species_code,class_name,common_name_ru,common_name_de,common_name_es,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_zh-CN,common_name_bg,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_hr,common_name_es_EC,common_name_lt,common_name_fa,common_name_zh,common_name_cy
9406,Myrmoborus lophotes,White-lined Antbird,whlant1,aves,Чернохохлая муравьеловка,Schwarzschopf-Ameisenvogel,Hormiguero Crestado,mravenčík vroubený,Alapi huppé,Roodkuifmiervogel,czarnoliczek czubaty,ズアカアリドリ,formigueiro-do-bambu,formiguer crestat,棕冠蚁鸟,Качулата мраволовка,toppmaurfugl,tofsmyrfågel,Topmyrefugl,mravcovka pálenochochlatá,Аляпі чубатий,Tepeli Karıncakuşu,punatöyhtömuura,Prugastokrila mravarka,Hormiguero crestado,Hormiguero Crestado,Formigueiro-do-bambu,ćubasta mravarica,Hormiguero de Líneas Blancas,Rusvakuodė skruzdėpaukštė,White-lined Antbird,White-lined Antbird,White-lined Antbird
9407,Myrmoborus lugubris,Ash-breasted Antbird,asbant1,aves,Серогрудая муравьеловка,Várzeaameisenschnäpper,Hormiguero Lúgubre,mravenčík várzeový,Alapi lugubre,Asborstmierkruiper,czarnoliczek żałobny,ハイムネアリドリ,Ash-breasted Antbird,formiguer de pit cendrós,灰胸蚁鸟,Жалобна мраволовка,varzeamaurfugl,várzeamyrfågel,Gråbrystet Myrefugl,mravcovka masková,Гормігуеро білочеревий,Kül Rengi Karıncakuşu,tuhkarintamuura,Pepeljastogruda mravarka,Hormiguero lúgubre,Hormiguero Lúgubre,Formigueiro-liso,crnolica mravarica,Hormiguero Pechicinéreo,Pilkakrūtė mažoji skruzdinukė,مورچهمرغ سینهخاکستری,灰胸蚁鸟,Aderyn morgrug bronllwyd
9408,Myrmoborus melanurus,Black-tailed Antbird,bltant1,aves,Чернохвостая муравьеловка,Schwarzkopf-Ameisenschnäpper,Hormiguero Colinegro,mravenčík ucayalský,Alapi à queue noire,Zwartstaartmierkruiper,czarnoliczek ciemnobrzuchy,オグロアリドリ,formigueiro-de-cauda-preta,formiguer cuanegre,黑尾蚁鸟,Черноопашата мраволовка,mørkstjertmaurfugl,svartstjärtad myrfågel,Skifermyrefugl,mravcovka čiernochvostá,Гормігуеро чорний,Kara Kuyruklu Karıncakuşu,mustapyrstömuura,Crnorepa mravarka,Hormiguero colinegro,Hormiguero Colinegro,Formigueiro-de-cauda-preta,ukajalijska mravarica,Hormiguero de Cola Negra,Juodauodegė mažoji skruzdinukė,Black-tailed Antbird,黑尾蚁鸟,Aderyn morgrug cynffonddu
9409,Myrmoborus myotherinus,Black-faced Antbird,blfant2,aves,Чернолицая муравьеловка,Schmalbrauen-Ameisenschnäpper,Hormiguero Carinegro,mravenčík černolící,Alapi masqué,Zwartmaskermierkruiper,czarnoliczek białobrzuchy,カオグロアリドリ,formigueiro-de-cara-preta,formiguer caranegre,黑脸蚁鸟,Чернолика мраволовка,maskemaurfugl,svartmaskad myrfågel,Sortmasket Myrefugl,mravcovka čiernolíca,Гормігуеро чорнощокий,Kara Yüzlü Karıncakuşu,mustanaamamuura,Crnolika mravarka,Hormiguero carinegro,Hormiguero Carinegro,Formigueiro-de-faces-pretas,šarenoglava mravarica,Hormiguero Carinegro,Juodaveidė mažoji skruzdinukė,مورچهمرغ رخسیاه,黑脸蚁鸟,Aderyn morgrug wynebddu
9410,Myrmochanes hemileucus,Black-and-white Antbird,bawant1,aves,Пегий муравьелов,Flussufer-Ameisenvogel,Hormiguero Negriblanco,mravenčík černobílý,Myrmidon noir et blanc,Zwart-witte mierkruiper,rzeczek,シロクロアリドリ,formigueiro-preto-e-branco,formiguer encaputxat,黑白蚁鸟,Белогърда мраволовка,flodmaurfugl,ömyrsmyg,Broget Myresmutte,pralesníček čierno-biely,Мурав’янка двобарвна,Alaca Karıncakuşu,valkovatsamuura,Crno-bela mravarka,Hormiguero negriblanco,Hormiguero Negriblanco,Formigueiro-preto-e-branco,crno-bijela mravarica,Hormiguero Negriblanco,Keršoji skruzdinukė,مورچهمرغ سیاهسفید,Black-and-white Antbird,Aderyn morgrug brith
9411,Myrmoderus eowilsoni,Cordillera Azul Antbird,whiant1,aves,Укаяльская муравьеловка,Blauband-Ameisenvogel,Hormiguerito de Cordillera Azul,Cordillera Azul Antbird,Alapi de Wilson,Cordillera-Azulmiervogel,mrowik andyjski,サエズリアリドリ,cordillera azul antbird,formiguer de Cordillera Azul,阿尔苏山蚁鸟,Санмартинска мраволовка,azulmaurfugl,gråbrynad myrfågel,San Martín-myrefugl,mravcovka tmavobruchá,Покривник андський,Kordiyera Azul Karıncakuşu,Cordillera Azul Antbird,Vilsonova mravarka,Hormiguerito de Cordillera Azul,Hormiguerito de Cordillera Azul,Cordillera azul antbird,Cordillera Azul Antbird,Hormiguero de la Cordillera Azul,Andinė devynbalsė skruzdinukė,Cordillera Azul Antbird,Cordillera Azul Antbird,Cordillera Azul Antbird
9412,Myrmoderus ferrugineus,Ferruginous-backed Antbird,febant1,aves,Каштановая муравьеловка,Weißband-Ameisenvogel,Hormiguero Ferruginoso,mravenčík rezavopláštíkový,Alapi à cravate noire,Roodrugmiervogel,mrowik modrooki,クリイロアリドリ,formigueiro-ferrugem,formiguer dorsi-rovellat,棕背蚁鸟,Ръждивогърба мраволовка,prydmaurfugl,rostryggig myrfågel,Rustrygget Myrefugl,mravcovka čarovná,Покривник чорнощокий,Tarçın Sırtlı Karıncakuşu,rusoselkämuura,Rđastoleđa mravarka,Hormiguero ferruginoso,Hormiguero Ferruginoso,Formigueiro-ruivo,šarena mravarica,Hormiguero Lomirrufo,Rudnugarė devynbalsė skruzdinukė,Ferruginous-backed Antbird,Ferruginous-backed Antbird,Ferruginous-backed Antbird
9413,Myrmoderus loricatus,White-bibbed Antbird,whbant4,aves,Белогрудая муравьеловка,Schmuckbrust-Ameisenvogel,Hormiguero Enmascarado,mravenčík šupinkopásý,Alapi cuirassé,Witbefmiervogel,mrowik białogardły,キマユアリドリ,formigueiro-assobiador,formiguer emmascarat,白枕蚁鸟,Чернобуза мраволовка,brynjemaurfugl,vithakad myrfågel,Hvidrandet Myrefugl,mravcovka kyrysník,Покривник біловолий,Beyaz Gerdanlı Karıncakuşu,valkokulmamuura,Belogrla mravarka,Hormiguero enmascarado,Hormiguero Enmascarado,Formigueiro-assobiador,kestenjastokapa mravarica,Hormiguero Enmascarado,Baltakrūtė devynbalsė skruzdinukė,White-bibbed Antbird,White-bibbed Antbird,White-bibbed Antbird
9414,Myrmoderus ruficauda,Scalloped Antbird,scaant3,aves,Краснохвостая муравьеловка,Schwarzgesicht-Ameisenvogel,Hormiguero Festoneado,mravenčík šupinkatý,Alapi barbu,Bruinkapmiervogel,mrowik czarnolicy,アカオアリドリ,formigueiro-de-cauda-ruiva,formiguer cuirassat,扇尾蚁鸟,Ръждивоопашата мраволовка,vatremaurfugl,vattrad myrfågel,Brunhalet Myrefugl,mravcovka krajkovitá,Покривник прибережний,Karnı Pullu Karıncakuşu,punapyrstömuura,Sitnotačkasta mravarka,Hormiguero festoneado,Hormiguero Festoneado,Formigueiro-de-cauda-ruiva,crnopjegava mravarica,Hormiguero Festoneado,Rusvauodegė devynbalsė skruzdinukė,مورچهمرغ صدفی,Scalloped Antbird,Aderyn morgrug sgolpiog
9415,Myrmoderus squamosus,Squamate Antbird,squant1,aves,Чешуйчатая муравьеловка,Schwarzkehl-Ameisenvogel,Hormiguero Escamoso,mravenčík šupinkoprsý,Alapi écaillé,Schubbenmiervogel,mrowik łuskowany,ウロコアリドリ,papa-formiga-de-grota,formiguer mallat,鳞纹蚁鸟,Люспогърда мраволовка,skjellmaurfugl,svartkindad myrfågel,Skællet Myrefugl,mravcovka pôvabná,Покривник бразильський,Damalı Karıncakuşu,täplämuura,Ljuskasta mravarka,Hormiguero escamoso,Hormiguero Escamoso,Papa-formiga-de-grota,ljuskasta mravarica,Hormiguero Escamoso,Žvynuotoji devynbalsė skruzdinukė,Squamate Antbird,Squamate Antbird,Squamate Antbird
9416,Myrmophylax atrothorax,Black-throated Antbird,bltant2,aves,Черногрудый алапи,Braunscheitel-Ameisenvogel,Hormiguero Gorjinegro,mravenčík černoprsý,Alapi de Buffon,Zwartkeelmiervogel,ściółkowczyk czarnogardły,ノドグロアリドリ,formigueiro-de-peito-preto,formiguer gorjanegre,黑喉蚁鸟,Черногуша мраволовка,svartbrystmaurfugl,svartstrupig myrfågel,Sortstrubet Myrefugl,pralesníček čiernohrdlý,Покривник чорногорлий,Kara Gerdanlı Karıncakuşu,savannimuura,Crnogrla mravarka,Hormiguero gorjinegro,Hormiguero Gorjinegro,Formigueiro-de-peito-preto,škriljastolica mravarica,Hormiguero Golinegro,Juodagurklė devynbalsė skruzdinukė,Black-throated Antbird,Black-throated Antbird,Black-throated Antbird
9417,Myrmorchilus strigilatus,Stripe-backed Antbird,stbant2,aves,Гайра,Strichelrücken-Ameisenfänger,Hormiguero Estriado,mravenčík skvrnitohřbetý,Grisin à dos rayé,Witbaardmiervogel,posuszek,タテジマアリドリ,tem-farinha-aí,formigueret dorsiestriat,纹背蚁鹩,Беловежда мраволовка,striperyggmaurfugl,strimryggig myrfågel,Rygstribet Myresmutte,pralesníček piu-piu,Кадук світлобровий,Çizgili Sırtlı Karıncaçıvgını,viiruselkämuuranen,Crnogrla dugorepa mravarka,Hormiguero estriado,Hormiguero Estriado,Piu-piu,pozemna mravarica,Stripe-backed Antbird,Dryžanugarė skruzdinukė,مورچهمرغ پشتراهراه,纹背蚁鸟,Aderyn y morgrug cefnrhesog
9418,Myrmornis torquata,Wing-banded Antbird,wibant1,aves,Пиримару,Stummelschwanz-Ameisenvogel,Hormiguero Alifranjeado,mravenčík krátkonohý,Palicour de Cayenne,Bonte mierlijster,mrówczak,ミスジアリツグミ,pinto-do-mato-carijó,formiguer alabarrat meridional,斑翅蚁鸟,Пъстроврата мраволовка,vaktelmaurfugl,vaktelmyrfågel,Pragtmyrefugl,čoka škridličkatá,Мурав’янка сірочерева,Bağ Kanatlı Karıncakuşu,kirjosiipimuura,Ljuskastovrata mravarka,Hormiguero alifranjeado,Hormiguero Alifranjeado,Pinto-do-mato-carijó,ljuskastovrata mravarica,Hormiguero Alibandeado,Dryžasparnė skruzdynukė,مورچهمرغ بالنواری,斑翅蚁鸟,Brych morgrug gyddfddu
9419,Myrmothera berlepschi,Amazonian Antpitta,amaant1,aves,Амазонский торорой,Olivmantel-Ameisenpitta,Tororoí Amazónico,pitule amazonská,Grallaire d'Amazonie,Amazonemierpitta,kusaczek amazoński,アマゾンモリジアリドリ,torom-torom,xanca amazònica,Amazonian Antpitta,Амазонска мраволовкова пита,amazonmaurpitta,amazonmyrpitta,Amazonmyrepitta,húštinárik amazonský,Мурашниця амазонійська,Amazon Yerçavuşu,amazonianpalloluura,Amazonska mravlja pita,Tororoí amazónico,Tororoí Amazónico,Torom-torom,selvaški mravar,Tororoi Amazónico,Amazoninė beuodegė skruzdinukė,Amazonian Antpitta,Amazonian Antpitta,Amazonian Antpitta
9420,Myrmothera campanisona,Thrush-like Antpitta,thlant2,aves,Равнинная мирмотера,Strichelbrust-Ameisenpitta,Tororoí Campanero,pitule zpěvná,Grallaire grand-beffroi,Lijstermierpitta,kusaczek krzykliwy,アシナガアリドリ,tovaca-patinho,xanca campanera,Thrush-like Antpitta,Кафява мраволовкова пита,brunryggmaurpitta,trastmyrpitta,Drosselmyrepitta,húštinárik hnedochrbtý,Торорої малий,Ardıç Yerçavuşu,rastasluura,Drozdolika mravlja pita,Tororoí campanero,Tororoí Campanero,Tovaca-patinho,amazonski mravar,Tororoi Campanero,Dryžakrūtė mirmotera,مورچهپیتای توکانما,Thrush-like Antpitta,Pita morgrug bronfrith
9421,Myrmothera dives,Thicket Antpitta,thiant1,aves,Рыжебокий торорой,Orangeflanken-Ameisenpitta,Tororoí Ventricanela Colombiano,pitule rezavobřichá,Grallaire buissonnière,Oranjeflankmierpitta,kusaczek północny,キバラモリジアリドリ,thicket antpitta,xanca de matollar,Thicket Antpitta,Храстова мраволовкова пита,oransjeflankemaurpitta,snårmyrpitta,Okkerbuget Myrepitta,húštinárik tmavohlavý,Мурашниця рудовола,Turuncu Karınlı Yerçavuşu,tiheikköluura,Žbunjačka mravlja pita,Tororoí ventricanela colombiano,Tororoí Ventricanela Colombiano,Thicket antpitta,riđoboki mravar,Tororoi Matorralero,Krūmyninė beuodegė skruzdinukė,Thicket Antpitta,Thicket Antpitta,Thicket Antpitta
9422,Myrmothera fulviventris,White-lored Antpitta,whlant2,aves,Серошапочный торорой,Weißwangen-Ameisenpitta,Tororoí Ventricanela Ecuatoriano,pitule bělouzdičková,Grallaire à ventre fauve,Zwartkapmierpitta,kusaczek ciemnogłowy,シロビタイモリジアリドリ,white-lored antpitta,xanca galtablava,White-lored Antpitta,Кафявогърба мраволовкова пита,hvittøylemaurpitta,vittyglad myrpitta,Hvidskægget Myrepitta,húštinárik plavoboký,Мурашниця сірощока,Ak Yakalı Yerçavuşu,punaperäluura,Beločela mravlja pita,Tororoí ventricanela ecuatoriano,Tororoí Ventricanela Ecuatoriano,White-lored antpitta,majnaški mravar,Tororoi Loriblanco,Baltakaktė beuodegė skruzdinukė,White-lored Antpitta,White-lored Antpitta,White-lored Antpitta
9423,Myrmothera simplex,Tepui Antpitta,tepant1,aves,Бурая мирмотера,Olivbauch-Ameisenpitta,Tororoí Flautista,pitule tepuová,Grallaire sobre,Bruinborstmierpitta,kusaczek wenezuelski,チャムネアシナガアリドリ,torom-de-peito-pardo,xanca dels tepuis,Tepui Antpitta,Тепуйска мраволовкова пита,tepuimaurpitta,tepuímyrpitta,Brunbrystet Myrepitta,húštinárik hnedoprsý,Торорої великий,Tepui Yerçavuşu,valkokurkkuluura,Mravlja pita iz Tepuija,Tororoí flautista,Tororoí Flautista,Torom-de-peito-pardo,tepujski mravar,Hormiguero Flautista,Rudakrūtė mirmotera,Tepui Antpitta,Tepui Antpitta,Pita morgrug bronfrown
9424,Myrmothera subcanescens,Tapajos Antpitta,thlant3,aves,Тапажосская мирмотера,Tapajósameisenpitta,Tororoí del Tapajós,Tapajos Antpitta,Grallaire grisâtre,Tapajosmierpitta,kusaczek rdzawogrzbiety,タパジョースアリドリ,tovaca-do-tapajós,xanca del Tapajós,Tapajos Antpitta,Тапахоска мраволовкова пита,tapajosmaurpitta,tapajósmyrpitta,Tapajós Drosselmyrepitta,húštinárik brazílsky,Торорої тапайоський,Tapahos Yerçavuşu,Tapajos Antpitta,Tapažoska mravlja pita,Tororoí del Tapajós,Tororoí del Tapajós,Tovaca-do-tapajós,Tapajos Antpitta,Tororoí del Tapajós,Tapažosinė mirmotera,Tapajos Antpitta,Tapajos Antpitta,Tapajos Antpitta
9425,Myrmotherula ambigua,Yellow-throated Antwren,yetant1,aves,Желтогорлый муравьелов,Gelbkehl-Ameisenschlüpfer,Hormiguerito Gorjiamarillo,mravenčík žlutohrdlý,Myrmidon à gorge jaune,Geelkeelmiersluiper,mrówiaczek żółtogardły,キノドヒメアリサザイ,choquinha-de-coroa-listrada,formigueret gorjagroc,黄喉蚁鹩,Жълтогуша ивичеста мраволовка,gulstrupemaursmett,gulstrupig myrsmyg,Gulstrubet Myresmutte,pralesníček žltohrdlý,Кадук жовтогорлий,Sarı Gerdanlı Karıncaçıvgını,valkohiekkamuuranen,Žutogrli mravlji carić,Hormiguerito gorjiamarillo,Hormiguerito Gorjiamarillo,Choquinha-de-coroa-listada,žutotrba mravarica,Hormiguerito Gargantiamarillo,Geltongurklė karietaitinė skruzdlesė,مورچهگیرک گلوزرد,黄喉蚁鹩,Dryw morgrug gyddf-felyn
9426,Myrmotherula assimilis,Leaden Antwren,leaant1,aves,Варзейский муравьелов,Várzeaameisenschlüpfer,Hormiguerito Plomizo,mravenčík říční,Myrmidon plombé,Pelzelnmiersluiper,mrówiaczek szary,ネズミヒメアリサザイ,choquinha-da-várzea,formigueret argentat,铅色蚁鹩,Речна сива мраволовка,blymaursmett,ljusbukig myrsmyg,Lysbuget Myresmutte,pralesníček riečny,Кадук сірий,Kurşuni Karıncaçıvgını,lyijymuuranen,Olovnosivi mravlji carić,Hormiguerito plomizo,Leaden Antwren,Choquinha-das-várzeas,riječna mravarica,Hormiguerito Plomizo,Švininė karietaitinė skruzdlesė,مورچهگیرک کرخت,铅色蚁鹩,Dryw morgrug tywyll
9427,Myrmotherula axillaris,White-flanked Antwren,whfant2,aves,Белобокий муравьелов,Weißflanken-Ameisenschlüpfer,Hormiguerito Flanquialbo,mravenčík běloboký,Myrmidon à flancs blancs,Witflankmiersluiper,mrówiaczek białoboczny,ワキジロヒメアリサザイ,choquinha-de-flanco-branco,formigueret de flancs blancs,白胁蚁鹩,Белокорема сива мраволовка,hvitflankemaursmett,vitsidig myrsmyg,Hvidflanket Myresmutte,pralesníček bieloboký,Кадук білобокий,Ak Böğürlü Karıncaçıvgını,valkokuvemuuranen,Beloboki mravlji carić,Hormiguerito flanquialbo,Hormiguerito Flanquialbo,Choquinha-de-flancos-brancos,bjeloboka mravarica,Hormiguerito Flanquiblanco,Baltašonė karietaitinė skruzdlesė,مورچهگیرک پهلوسفید,White-flanked Antwren,Dryw morgrug torwyn
9428,Myrmotherula behni,Plain-winged Antwren,plwant2,aves,Чернозобый муравьелов,Grauflügel-Ameisenschlüpfer,Hormiguerito de Behn,mravenčík černohrdlý,Myrmidon de Behn,Grauwvleugelmiersluiper,mrówiaczek skromny,ムナグロヒメアリサザイ,choquinha-de-asa-lisa,formigueret de Behn,纯色翅蚁鹩,Тепуйска сива мраволовка,gråvingemaursmett,mörkvingad myrsmyg,Mørkvinget Myresmutte,pralesníček bradatý,Кадук чорногрудий,Düz Kanatlı Gri Karıncaçıvgını,tummasiipimuuranen,Crnogrudi mravlji carić,Hormiguerito de Behn,Hormiguerito de Behn,Choquinha-d'asa-lisa,tamnokrila mravarica,Hormiguerito Alillano,Juodakrūtė karietaitinė skruzdlesė,مورچهگیرک سادهبال,纯色翅蚁鹩,Dryw morgrug adeinblaen
9429,Myrmotherula brachyura,Pygmy Antwren,pygant1,aves,Карликовый муравьелов,Weißkehl-Ameisenschlüpfer,Hormiguerito Pigmeo,mravenčík trpasličí,Myrmidon pygmée,Dwergmiersluiper,mrówiaczek mały,ヒメアリサザイ,choquinha-miúda,formigueret pigmeu,姬蚁鹩,Дребна ивичеста мраволовка,dvergmaursmett,dvärgmyrsmyg,Dværgmyresmutte,pralesníček trpasličí,Кадук карликовий,Küçük Karıncaçıvgını,kääpiömuuranen,Patuljasti mravlji carić,Hormiguerito pigmeo,Hormiguerito Pigmeo,Choquinha-miúda,mala mravarica,Hormiguerito Pigmeo,Mažoji karietaitinė skruzdlesė,مورچهگیرک کوتوله,姬蚁鹩,Dryw morgrug bychan
9430,Myrmotherula cherriei,Cherrie's Antwren,cheant1,aves,Пёстрый муравьелов,Weißstreifen-Ameisenschlüpfer,Hormiguerito de Cherrie,mravenčík Cherrieův,Myrmidon de Cherrie,Cherriemiersluiper,mrówiaczek pstry,クロスジヒメアリサザイ,choquinha-de-peito-riscado,formigueret de Cherrie,红蚁鹩,Рорайменска ивичеста мраволовка,strekmaursmett,vitsandsmyrsmyg,Sandmyresmutte,pralesníček lužný,Кадук венесуельський,Cherrie Karıncaçıvgını,viirumuuranen,Čerijev mravlji carić,Hormiguerito de Cherrie,Hormiguerito de Cherrie,Choquinha-de-peito-riscado,prugastoprsa mravarica,Hormiguerito de Cherrie,Dryžagurklė karietaitinė skruzdlesė,مورچهگیرک شری,红蚁鹩,Dryw morgrug Cherrie
9431,Myrmotherula fluminensis,Rio de Janeiro Antwren,rdjant2,aves,Риодежанейрский муравьелов,Rio-de-Janeiro-Ameisenschlüpfer,Hormiguerito Carioca,mravenčík riodejaneirský,Myrmidon de Rio de Janeiro,Rio-de-Janeiromiersluiper,mrówiaczek czarnobrzuchy,ブラジルヒメアリサザイ,choquinha-fluminense,formigueret de Rio de Janeiro,里约蚁鹩,Флуминензенска сива мраволовка,riomaursmett,riodejaneiromyrsmyg,Rio de Janeiro-myresmutte,pralesníček čiernoprsý,Кадук чорночеревий,Rio De Janerio Karıncaçıvgını,rionmuuranen,Sivi mravlji carić iz Rio de Žaneira,Hormiguerito carioca,Hormiguerito Carioca,Choquinha-fluminense,Rio de Janeiro Antwren,Hormiguerito Carioca,Rio de Žaneiro karietaitinė skruzdlesė,مورچهگیرک ریو دژانیرو,里约蚁鹩,Dryw morgrug Rio de Janeiro
9432,Myrmotherula grisea,Yungas Antwren,ashant1,aves,Пепельный муравьелов,Yungasameisenschlüpfer,Hormiguerito Ceniciento,mravenčík bolivijský,Myrmidon cendré,Yungasmiersluiper,mrówiaczek boliwijski,ズグロヒメアリサザイ,ashy antwren,formigueret cendrós,淡灰蚁鹩,Пепелява сива мраволовка,yungasmaursmett,yungasmyrsmyg,Askegrå Myresmutte,pralesníček popolavý,Кадук лапаський,Yungas Karıncaçıvgını,bolivianmuuranen,Pepeljasti mravlji carić,Hormiguerito ceniciento,Hormiguerito Ceniciento,Ashy antwren,jungaška mravarica,Hormiguerito Cenizo,Peleninė karietaitinė skruzdlesė,مورچهگیرک یونگاس,Yungas Antwren,Dryw morgrug llwydaidd
9433,Myrmotherula ignota,Moustached Antwren,mouant,aves,Черноусый муравьелов,Kurzschwanz-Ameisenschlüpfer,Hormiguerito de Griscom,Moustached Antwren,Myrmidon de Griscom,Snormiersluiper,mrówiaczek wąsaty,コバシヒメアリサザイ,choquinha-de-bico-curto,formigueret bigotut,须蚁鹩,Мустаката ивичеста мраволовка,skjeggmaursmett,mustaschmyrsmyg,Colombiansk Dværgmyresmutte,pralesníček fúzatý,Кадук панамський,Bıyıklı Karıncaçıvgını,viiksikääpiömuuranen,Brkati mravlji carić,Hormiguerito de Griscom,Hormiguerito de Griscom,Choquinha-de-bico-curto,brkata mravarica,Hormiguerito Bigotudo,Ūsuotoji karietaitinė skruzdlesė,مورچهگیرک سبیلدار,鬃蚁鹩,Moustached Antwren
9434,Myrmotherula iheringi,Ihering's Antwren,iheant1,aves,Манишковый муравьелов,Iheringameisenschlüpfer,Hormiguerito de Ihering,mravenčík tečkoramenný,Myrmidon d'Ihering,Iheringmiersluiper,mrówiaczek ciemny,ハシブトヒメアリサザイ,Ihering's Antwren,formigueret d'Ihering,亚马孙蚁鹩,Черногърда сива мраволовка,svartbrystmaursmett,guaduamyrsmyg,Korthalet Myresmutte,pralesníček spevavý,Кадук бразильський,Ihering Karıncaçıvgını,tuhkamuuranen,Biserasti mravlji carić,Hormiguerito de Ihering,Hormiguerito de Ihering,Choquinha-de-ihering,biserastokrila mravarica,Hormiguerito de Ihering,Brazilinė karietaitinė skruzdlesė,مورچهگیرک ایهرینگ,亚马孙蚁鹩,Dryw morgrug Ihering
9435,Myrmotherula klagesi,Klages's Antwren,klaant1,aves,Рионегросский муравьелов,Rio-Negro-Ameisenschlüpfer,Hormiguerito de Klages,mravenčík Klagesův,Myrmidon de Klages,Klagesmiersluiper,mrówiaczek rzeczny,セグロヒメアリサザイ,choquinha-do-tapajós,formigueret de Klages,凯氏蚁鹩,Речна ивичеста мраволовка,varzeamaursmett,várzeamyrsmyg,Manaus Myresmutte,pralesníček amazonský,Кадук річковий,Klages Karıncaçıvgını,paránmuuranen,Rečni prugasti mravlji carić,Hormiguerito de Klages,Hormiguerito de Klages,Choquinha-do-rio-tapajós,manauška mravarica,Hormiguerito de Klages,Klageso karietaitinė skruzdlesė,مورچهگیرک کلاگس,凯氏蚁鹩,Dryw morgrug Klages
9436,Myrmotherula longicauda,Stripe-chested Antwren,stcant4,aves,Длиннохвостый муравьелов,Weißbauch-Ameisenschlüpfer,Hormiguerito Pechilistado,mravenčík čárkoprsý,Myrmidon à ventre blanc,Langstaartmiersluiper,mrówiaczek srokaty,シマヒメアリサザイ,stripe-chested antwren,formigueret pitllistat,纹胸蚁鹩,Дългоопашата ивичеста мраволовка,stripebrystmaursmett,andinsk myrsmyg,Andes Myresmutte,pralesníček čiarkovaný,Кадук строкатий,Gerdanlıklı Karıncaçıvgını,viirurintamuuranen,Brdski prugasti mravlji carić,Hormiguerito pechilistado,Hormiguerito Pechilistado,Stripe-chested antwren,prugastorepa mravarica,Hormiguerito Pechilistado,Kanapėtoji karietaitinė skruzdlesė,مورچهگیرک سینهراهراه,纹胸蚁鹩,Dryw morgrug brith
9437,Myrmotherula longipennis,Long-winged Antwren,lowant1,aves,Длиннокрылый муравьелов,Silberameisenschlüpfer,Hormiguerito Alilargo,mravenčík třepetavý,Myrmidon longipenne,Langvleugelmiersluiper,mrówiaczek amazoński,マミジロヒメアリサザイ,choquinha-de-asa-comprida,formigueret alallarg,长翅蚁鹩,Дългокрила сива мраволовка,langvingemaursmett,långvingad myrsmyg,Langvinget Myresmutte,pralesníček dlhokrídly,Кадук амазонійський,Uzun Kanatlı Karıncaçıvgını,pitkäsiipimuuranen,Dugokrili mravlji carić,Hormiguerito alilargo,Hormiguerito Alilargo,Choquinha-d'asa-comprida,dugokrila mravarica,Hormiguerito Alilargo,Ilgasparnė karietaitinė skruzdlesė,مورچهگیرک بالدراز,长翅蚁鹩,Dryw morgrug hiradain
9438,Myrmotherula menetriesii,Grey Antwren,gryant1,aves,Пестрокрылый муравьелов,Grauameisenschlüpfer,Hormiguerito Gris,mravenčík šedavý,Myrmidon gris,Bonte miersluiper,mrówiaczek siwy,ハイバラヒメアリサザイ,choquinha-de-garganta-cinza,formigueret gris,灰蚁鹩,Обикновена сива мраволовка,gråmaursmett,grå myrsmyg,Grålig Myresmutte,pralesníček sivý,Кадук сивий,Gri Karıncaçıvgını,harmaarintamuuranen,Sivi mravlji carić,Hormiguerito gris,Hormiguerito Gris,Choquinha-de-garganta-cinzenta,tropruga mravarica,Hormiguerito Gris,Pilkoji karietaitinė skruzdlesė,مورچهگیرک خاکستری,Grey Antwren,Dryw morgrug llwyd
9439,Myrmotherula minor,Salvadori's Antwren,salant1,aves,Малый муравьелов,Salvadoriameisenschlüpfer,Hormiguerito de Salvadori,mravenčík Salvadoriho,Myrmidon de Salvadori,Salvadorimiersluiper,mrówiaczek ubogi,シラナミヒメアリサザイ,choquinha-pequena,formigueret de Salvadori,小蚁鹩,Малка сива мраволовка,småmaursmett,flodmyrsmyg,Bækmyresmutte,pralesníček tmavosivý,Кадук малий,Salvadori Karıncaçıvgını,harmaalakkimuuranen,Salvadorijev mravlji carić,Hormiguerito de Salvadori,Hormiguerito de Salvadori,Choquiinha-pequena,atlantska mravarica,Hormiguerito de Salvadori,Salvadorio karietaitinė skruzdlesė,مورچهگیرک سالوادوری,小蚁鹩,Dryw morgrug Salvadori
9440,Myrmotherula multostriata,Amazonian Streaked Antwren,amasta1,aves,Амазонский муравьелов,Amazonien-Strichelameisenschlüpfer,Hormiguerito Amazónico,mravenčík čárečkovaný,Myrmidon strié,Amazonemiersluiper,mrówiaczek brazylijski,アマゾンヒメアリサザイ,choquinha-estriada-da-amazônia,formigueret amazònic,亚马孙纵纹蚁鹩,Амазонска ивичеста мраволовка,amazonmaursmett,amazonmyrsmyg,Amazon Myresmutte,pralesníček vodný,Кадук чагарниковий,Amazon Çizgili Karıncaçıvgını,amazonianviirumuuranen,Amazonski mravlji carić,Hormiguerito amazónico,Hormiguerito Amazónico,Choquinha-estriada-da-amazónia,prugastotrba mravarica,Hormiguerito Rayado Amazónico,Amazoninė karietaitinė skruzdlesė,مورچهگیرک راهراه آمازون,Amazonian Streaked Antwren,Amazonian Streaked Antwren
