126247	Leptodactylus insularum	Spotted Foam-nest Frog
126296	Charaxes brutus	White-barred Emperor
1264418	Melogale subaurantiaca	Formosan Ferret Badger
1264427	Mustela richardsonii	American Ermine
1264431	Neogale frenata	Long-tailed Weasel
1264432	Neogale vison	American Mink
126600	Chortophaga viridifasciata	Green-striped Grasshopper
126630	Osmia cornuta	European Orchard Bee
1267021	Melanoplus punctulatus	Arboreal Spur-throat Grasshoppers
126923	Acrocinus longimanus	Harlequin Beetle
1270321	Nisitrus malaya	Nisitrus malaya
127165	Pachysphinx occidentalis	Western Poplar Sphinx
127170	Hemaris thetis	Rocky Mountain Clearwing
127182	Decticus albifrons	White-faced Bush-cricket
127308	Chorthippus brunneus	Common Field Grasshopper
127309	Crioceris asparagi	Common Asparagus Beetle
1273308	Tomopterna adiastola	Confused Sand frog
1273326	Pseudacris collinsorum	Collinses' Mountain Chorus Frog
1273649	Agalychnis taylori	Taylor's Leaf Frog
127669	Jadera haematoloma	Red-shouldered Bug
127718	Andrena bicolor	Bicoloured Miner
127777	Vespula vulgaris	Common European Yellowjacket
127905	Bombus ternarius	Tricolored Bumble Bee
1279886	Petaurista grandis	Taiwan Giant Flying Squirrel
1279889	Marmota kastschenkoi	Forest Steppe Marmot
1279890	Petaurista lena	Taiwan Red-and-white Giant Flying Squirrel
128229	Merinus laevis	Smooth Darkling Beetle
128241	Darapsa choerilus	Azalea Sphinx
1286242	Wijayarana masonii	Javan Torrent Frog
128824	Lucilia sericata	Common European Greenbottle Fly
129016	Vespula atropilosa	Prairie Yellowjacket
129094	Melanoplus femurrubrum	Red-legged Grasshopper
129102	Dolichovespula saxonica	Saxon Wasp
1291212	Pacarina schumanni	Tropical Specklewing
129132	Eritettix simplex	Velvet-striped Grasshopper
129135	Gryllus veletis	Spring Field Cricket
129136	Miogryllus verticalis	Eastern Striped Cricket
129233	Oecanthus latipennis	Broad-winged tree cricket
129244	Allonemobius allardi	Allard's Ground Cricket
129250	Orchelimum gladiator	Gladiator Meadow Katydid
129251	Hapithus agitator	Restless Bush Cricket
129260	Orchelimum vulgare	Common Meadow Katydid
129261	Conocephalus fasciatus	Slender Meadow Katydid
129263	Syrbula admirabilis	Admirable Grasshopper
129272	Camponotus castaneus	Chestnut Carpenter Ant
129305	Melanoplus bivittatus	Two-striped Grasshopper
129385	Aromia moschata	Musk beetle
129390	Amblycorypha insolita	Big Bend Oblong-winged Katydid
129431	Sepsis punctum	Sepsis punctum
130205	Meloe violaceus	Violet Oil Beetle
130222	Bombus melanopygus	Black-tailed Bumble Bee
130354	Amblycorypha floridana	Florida Oblong-winged Katydid
130356	Oecanthus fultoni	Snowy Tree Cricket
130358	Monochamus notatus	Northeastern Pine Sawyer
130451	Dione juno	Juno Silverspot
131035	Leptophyes punctatissima	Speckled Bush-cricket
131099	Harpalus rufipes	Strawberry Seed Beetle
131878	Nicrophorus vespillo	Vespillo Burying Beetle
1319807	Pelophylax ridibundus	Marsh Frog
132070	Phaneroptera nana	Mediterranean Katydid
132091	Buprestis lyrata	Pink-faced jewel beetle
1321226	Formica rufa	rufa-group Wood Ants
132319	Myrmeleotettix maculatus	Mottled Grasshopper
132419	Omocestus viridulus	Common Green Grasshopper
132429	Acanthacris ruficornis	Garden Locust
132719	Calopteron reticulatum	Reticulated Net-winged Beetle
132892	Anacridium aegyptium	Egyptian Bird Grasshopper
133029	Prionus laticollis	Broad-necked Root Borer
133220	Acheta domesticus	House Cricket
133250	Tettigonia viridissima	Great Green Bush-cricket
133409	Pardalophora phoenicoptera	Orange-Winged Grasshopper
133654	Formica exsectoides	Allegheny Mound Ant
133683	Polistes gigas	Giant Brown Paper Wasp
133923	Mermiria bivittata	Two-striped Mermiria
134150	Anthophora abrupta	Abrupt Digger Bee
134276	Gastrophryne mazatlanensis	Mazatlan Narrow-mouthed Toad
134277	Gastrophryne olivacea	Western Narrow-mouthed Toad
134631	Scinax elaeochroa	Olive Snouted Tree Frog
134634	Triprion spatulatus	Duck-billed Tree Frog
134636	Xenopus tropicalis	Tropical Clawed Frog
134639	Rhinella beebei	Beebe's Toad
134671	Anomaloglossus surinamensis	Suriname Rocket Frog
134693	Bufo spinosus	Spiny Toad
134709	Fejervarya kawamurai	Rice field frog
134725	Hyalinobatrachium kawense	Hyalinobatrachium kawense
1347273	Cycloptiloides americanus	Saussure's Scaly Cricket
134745	Microhyla malang	Bornean Narrow-mouthed Frog
134783	Philautus macroscelis	Mossy Bush Frog
134788	Polypedates braueri	Taiwan Whipping Frog
134841	Cophixalus australis	Southern Ornate Nursery Frog
134929	Amolops marmoratus	Marbled Cascade Frog
134930	Aubria subsigillata	Brown Ball Frog
134932	Bufo gargarizans	Asiatic Toad
134933	Espadarana prosoblepon	Emerald Glass Frog
134934	Eupsophus calcaratus	Chiloe Island Ground Frog
134935	Fejervarya cancrivora	Crab-eating Frog
134936	Hyalinobatrachium cappellei	Banded-limb Glassfrog
134937	Hyalinobatrachium chirripoi	Suretka glass frog
134938	Hyalinobatrachium colymbiphyllum	Plantation Glass Frog
134939	Hyalinobatrachium iaspidiense	Yuruani Glass Frog
134940	Hyperolius kivuensis	Kivu Reed Frog
134941	Hyperolius marginatus	Margined Reed Frog
134942	Hyperolius viridiflavus	Common Reed Frog
134946	Kalophrynus interlineatus	Striped Sticky Frog
134948	Leptodactylus validus	Smooth-skinned Ditch Frog
134952	Neobatrachus sudelli	Desert Trilling Frog
134958	Phrynobatrachus latifrons	Ahl's River Frog
134964	Proceratophrys boiei	Bahia Smooth-horned Frog
134965	Pseudopaludicola boliviana	Bolivian Swamp Frog
134966	Quasipaa boulengeri	Spiny-bellied Frog
134967	Rana sauteri	Sauter's Brown Frog
134968	Ranitomeya imitator	Imitating Poison Frog
134970	Ranitomeya sirensis	Sira Poison Dart Frog
134972	Raorchestes luteolus	Coorg Yellow Bush Frog
134977	Rhaebo guttatus	Spotted Toad
134978	Rhinella spinulosa	Warty Toad
134980	Sphaerotheca breviceps	Indian Burrowing Frog
134981	Theloderma asperum	Pied Warty Frog
135008	Lithobates chiricahuensis	Chiricahua Leopard Frog
135011	Adenomera andreae	Cocha Chirping Frog
135015	Adenomera diptyx	Chacoan Tropical Bullfrog
135017	Adenomera heyeri	Heyer's Tropical Bullfrog
135018	Adenomera hylaedactyla	Forest Chirping Frog
135020	Adenomera marmorata	Marbled Tropical Bullfrog
135027	Agalychnis dacnicolor	Mexican Giant Tree Frog
135031	Agalychnis lemur	Lemur Leaf Frog
135039	Andinobates bombetes	Cauca Poison Frog
135044	Andinobates minutus	Blue-bellied Poison Frog
135045	Andinobates opisthomelas	Andean Poison Frog
135060	Bufotes pewzowi	Xinjiang toad
135068	Centrolene savagei	Savage's Cochran Frog
135071	Chimerella mariaelenae	Maria Elena's Glass Frog
135076	Engystomops freibergi	Freiberg's Foam-Frog
135077	Engystomops petersi	Painted Forest Toadlet
135082	Hadromophryne natalensis	Natal Ghost Frog
135111	Lithodytes lineatus	Painted Antnest Frog
1351388	Hypsugo pulveratus	Chinese Pipistrelle
135141	Taruga eques	Saddled Tree frog
135147	Vitreorana parvula	Lages Glass Frog
135185	Sphinx vashti	Vashti Sphinx
1357162	Boulenophrys boettgeri	Pale-shouldered Horned Toad
1357183	Boulenophrys brachykolos	Short-legged Horned Toad
1363717	Rhinella lescurei	Rhinella lescurei
1363718	Pristimantis relictus	Pristimantis relictus
1368498	Chiropotes utahicki	Uta Hick's Bearded Saki
1368499	Piliocolobus badius	Western Red Colobus
1368503	Presbytis robinsoni	Robinson’s Banded Langur
1368519	Saimiri cassiquiarensis	Humboldt’s Squirrel Monkey
1368523	Saimiri collinsi	Collins' Squirrel Monkey
1368625	Saguinus leucogenys	Andean Saddle-back Tamarin
1368626	Saguinus weddelli	White-mantled Tamarin
1368627	Saguinus lagonotus	Red-mantle Saddle-back Tamarin
1369209	Lagothrix lagothricha	Common Woolly Monkey
1369287	Chiropotes sagulatus	Northern Bearded Saki Monkey
1369291	Cebus yuracus	Marañón white-fronted capuchin
1369292	Cebus versicolor	Varied Capuchin
1369296	Cebus imitator	Central American White-faced Capuchin
1369297	Cebus cuscinus	Shock-headed Capuchin
1369301	Cebus aequatorialis	Ecuadorian White-fronted Capuchin
1369303	Trachypithecus selangorensis	Selangor Silvered Langur
1369307	Trachypithecus crepusculus	Indochinese Gray Langur
1369308	Semnopithecus vetulus	Purple-faced Langur
1370802	Micronomus norfolkensis	East Coast Free-tailed Bat
1370811	Ozimops ridei	Eastern Free-tailed Bat
1370812	Hypsugo alaschanicus	Alashanian Pipistrelle
1370817	Miniopterus orianae	Australasian Bent-winged Bat
1370818	Lyroderma lyra	Greater False Vampire Bat
1370825	Ozimops planiceps	Southeastern Free-tailed Bat
1370828	Ozimops petersi	Inland Free-tailed Bat
1370852	Hipposideros gentilis	Exotic Roundleaf Bat
1370990	Mops pumilus	Little Free-tailed Bat
1377804	Bufo sachalinensis	Sakhalin Toad
1394448	Yoyetta australicta	Southern Ticking Ambertail
1394451	Yoyetta ignita	Fiery Ambertail
1402612	Bufo praetextatus	Western Japanese Common Toad
1402613	Bufo formosus	Eastern-Japanese Common Toad
1402624	Occidozyga lingnanica	Lingnan Floating Frog
1402632	Euphlyctis adolfi	Bangladesh Skittering Frog
1404305	Leptodactylus fremitus	Leptodactylus fremitus
1416115	Glandirana reliquia	Proto wrinkled frog
1416121	Tlalocohyla celeste	Tapir Valley Tree Frog
141725	Nezara viridula	Southern Green Stink Bug
141737	Phaneroptera falcata	Sickle-bearing Bush-cricket
1418842	Cebuella pygmaea	Western Pygmy Marmoset
1418851	Odontomachus haematodus	Haematodus-group Trap-jaw Ants
1419392	Rana taihangensis	Taihang Brown Frog
1423550	Tachiramantis tayrona	Cebolleta Robber Frog
1423553	Serranobatrachus sanctaemartae	Santa Marta Robber Frog
1423556	Serranobatrachus insignitus	Ground Robber Frog
1423577	Hoplobatrachus chinensis	East Asian Bullfrog
1423578	Chiasmocleis jacki	Chiasmocleis jacki
1426466	Carineta cearana	Maned Froglet
142708	Conocephalus strictus	Straight-lanced Meadow Katydid
1428146	Augochloropsis metallica	Metallic Epauletted-Sweat Bee
1430395	Choristoneura occidentalis	Western Spruce Budworm Moth
143043	Cycnia tenera	Delicate Cycnia Moth
1431007	Budorcas tibetana	Chinese Takin
1431030	Laephotis capensis	Cape serotine
1431034	Afronycteris nanus	Banana Serotine
1431041	Vansonia rueppellii	Rüppell's pipistrelle
1431049	Lasiurus frantzii	Western red bat
1431066	Molossus nigricans	Black mastiff bat
1431094	Glossophaga mutica	Merriam's Long-tongued Bat
1431125	Epomophorus pusillus	Peter's Dwarf Epauletted Fruit Bat
1431239	Peromyscus sonoriensis	Western Deer Mouse
1431273	Clethrionomys glareolus	Bank Vole
1431274	Clethrionomys gapperi	Southern Red-backed Vole
1431305	Cacajao ucayalii	Ucayali Bald Uacari
1431331	Cephalophorus harveyi	Harvey's Duiker
1431348	Mops jobensis	Northern Free-tailed Bat
1431360	Mops plicatus	Wrinkle-lipped Bat
143151	Orchelimum nigripes	Black-legged Meadow Katydid
1431559	Myotis pilosatibialis	Northern Hairy-legged Myotis
143170	Dendropsophus bifurcus	Upper Amazon Tree Frog
1431867	Tragelaphus sylvaticus	Southern Bushbuck
1431872	Nasua olivacea	Mountain Coati
143338	Milesia virginiensis	Virginia Giant Hover Fly
143387	Allonemobius fasciatus	Striped Ground Cricket
143449	Sphinx drupiferarum	Wild Cherry Sphinx
143612	Formica ulkei	Ulke's Mound Ant
143662	Orthosoma brunneum	Brown Prionid
1438037	Burbunga gilmorei	Western Bark Cicada
143834	Pachylia ficus	Fig Sphinx
143854	Bombus borealis	Northern Amber Bumble Bee
143905	Anabrus simplex	Mormon Cricket
1439605	Pristimantis crepitaculus	Pristimantis crepitaculus
144007	Saperda tridentata	Elm Borer
144011	Bombus rufocinctus	Red-belted Bumble Bee
